Id	LocalName	GlobalIndicatorCode	UsedForCharts	UsedForRating	UsedForOperationalMonitoring
54	Выполнение нормы простоя транзитных вагонов с переработкой в сортировочном парке по элементу формирование	2K18	0	0	0
55	Выполнение задания по средней длине отправленного поезда своего формирования(усл.ваг.)	2K19	0	0	0
56	Выполнение задания по среднему весу поезда своего формирования	2K110	0	0	0
57	Выполнение норм простоя транзитного вагона c переработкой от окончания накопления до отправления	2K111	0	0	0
58	Выполнение задания по средней длине поезда (усл. ваг)	2K112	0	0	0
59	Выполнение нормы простоя транзитных вагонов с переработкой от формирования состава до перестановки в парк отправления	3K111	0	0	0
60	Выполнение нормы простоя транзитных вагонов с переработкой в парке отправления по элементу обработка	3K112	0	0	0
61	Отсутствие нарушений плана формирования	1K111	0	0	0
62	Положительная динамика выполнения графика отправления грузовых поездов к аналогичному периоду прошлого года	RK14	0	0	0
63	Выполнение нормы простоя транзитных вагонов с переработкой (в парке прибытия)	1K12	0	0	0
64	Выполнение нормы простоя вагонов транзитных с переработкой (парк формирования)	2K12	0	0	0
65	Простой вагонов транзитных с переработкой (парк отправления)	3K11	0	0	0
67	Выполнение норм накладного времени "от  прибытия до КП " локомотивных бригад	1K16	0	0	0
68	Выполнение плана выгрузки по станции	2K14	0	0	0
69	Отсутствие нарушений плана формирования поездов своего формирования	2K15	0	0	0
70	Выполнение плана производительности маневрового локомотива	1K113	0	0	0
71	Выполнение норм накладного времени "от  КП до отправления" локомотивных бригад	3K113	0	0	0
72	Выполнение  плана погрузки	3K18	0	0	0
73	Снижение количества отцепок вагонов по коммерческим неисправностям от поездов своего формирования по сравнению с аналогичным периодом прошлого года	1K19	0	0	0
74	Выполнение нормы простоя транзитных вагонов в парке отправления в ожидании отправления поезда	3K114	0	0	0
75	Непревышение (или отсутствие) задержек поездов по техническим неисправностям в пути следования к аналогичному периоду прошлого года	3K46	0	0	0
76	Отсутствие случаев отцепки вагонов  от состава по техническим неисправностям на гарантийном участке (кроме буксового узла, выщербины на поверхности катания колеса)	3K24	0	0	0
77	Выполнение задания по отправлению  вагонов транзитных без переработки	3K115	0	0	0
78	Выполнение задания по средней длине поезда, ваг (в целом по станции (системе)) 	2K11	0	0	0
80	Выполнение нормы простоя транзитных вагонов с переработкой по элементу расформирование	1K15	0	0	0
82	Снижение количества отцепок вагонов по коммерческим неисправностям от транзитных поездов по сравнению с аналогичным периодом прошлого года	1K19	0	0	0
83	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения (парк Б)	3K35	0	0	0
84	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения (парк В)	3K36	0	0	0
85	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения (парк Г)	3K37	0	0	0
86	Отсутствие случаев отцепок вагонов от составов с техническими неисправностями на гарантийном участке (кроме буксового узла) (парк Б)	3K22	0	0	0
87	Отсутствие случаев отцепок вагонов от составов с техническими неисправностями на гарантийном участке (кроме буксового узла) (парк В)	3K22	0	0	0
88	Отсутствие случаев отцепок вагонов от составов с техническими неисправностями на гарантийном участке (кроме буксового узла) (парк Г)	3K22	0	0	0
89	Выполнение нормы простоя вагонов транзитных с переработкой  в смену (в парке приема и роспуск)	1K12	0	0	0
90	Отсутствие случаев не выполнения нормы времени на приемку локомотива и его обслуживание в течение смены (прибытие)	2K32	0	0	0
91	Отсутствие случаев не выполнения нормы времени на приемку локомотива и его обслуживание в течение смены (формирование)	2K32	0	0	0
92	Отсутствие случаев не выполнения норм вспомогательного времени (от явки до КП) по вине работников эксплуатационного депо	2K32	0	0	0
93	Выполнение графика отправления грузовых поездов не ниже фактического выполнения показателя в целом за соответствующий месяц прошлого года	3K14	0	0	0
94	Выполнение нормы содержания локомотива в парке не менее 100% (прибытие)	1K33	0	0	0
95	Выполнение нормы содержания локомотива в парке не менее 100% (формирование)	1K33	0	0	0
96	Отсутствие задержек в пути следования по вине подразделения	3K27	0	0	0
98	Отсутствие задержек поездов по техническим неисправностям в пути следования по вине подразделения	3K38	0	0	0
99	Отсутствие случаев отказов технических средств после проведения ТО-1 по вине локомотивной бригады и качественное выполнение ТО-1, отсутствие отказов и замечаний	3K16	0	0	0
100	Выполнение локомотивными бригадами нормы подготовительно-заключительного времени (от явки до КП), (от КП до сдачи)	3K21	0	0	0
101	Отсутствие случаев отказов технических средств в пути следования по гарантийным участкам по вине подразделения	2K32	0	0	0
102	Отсутствие случаев отцепок вагонов от составов в парке отправления с техническими неисправностями, не выявленными в парке прибытия, кроме неисправностей пневматической части тормозного оборудования	2K32	0	0	0
103	Выполнение норматива коммерческого осмотра вагонов по прибытию	1K16	0	0	0
104	Выполнение задания по формированию длинносоставных, тяжеловесных поездов	3K39	0	0	0
105	Отсутствие случаев срабатывания автотормозов при отправлении	2K32	0	0	0
107	Выполнение нормы содержания локомотива в парке не менее 95% (парк прибытия)	1K33	0	0	0
108	Выполнение нормы содержания локомотива в парке не менее 95% (парк формирования	1K33	0	0	0
109	Выполнение сменного задания по выставлению сформированных поездов в парк отправления	3K39	0	0	0
110	Выполнение нормы оборота локомотива (под депо)	2K31	0	0	0
111	Отсутствие задержек отправления поездов по причине невыдачи локомотивной бригады	3K31	0	0	0
112	Выполнение нормированного задания по подаче-уборке вагонов	1K17	0	0	0
113	Выполнение норм контрольных проверок скорости соударения вагонов в подгорочном парке в соответствии с распоряжением №1735 от 12.08.2010 г.	2K33	0	0	0
114	Отсутствие снижения по среднему весу поезда к уровню прошлого года	1K34	0	0	0
115	Отсутствие снижения средней длины  поезда к уровню прошлого года	2K11	0	0	0
116	Отсутствие замечаний по качеству выполнения технического обслуживания локомотивов ТО-1	3K40	0	0	0
117	Выполнение контрольной перевески вагонов	1K17	0	0	0
118	Отсутствие случаев несвоевременной постановки локомотивов на плановые виды ремонта и обслуживания	1K110	0	0	0
119	Отсутствие случаев невыполнения норматива времени оборота локомотива в депо	1K110	0	0	0
120	Выполнение нормированного задания по подаче-уборке вагонов на подъездные пути	1K17	0	0	0
121	Выполнение нормы простоя местного вагона	1K115	0	0	0
122	выполнение нормы простоя от  окончания формирования состава или перестановки его в парк отправления до отправления	3K21	0	0	0
123	Выполнение сменного плана по отправлению вагонов (нечетный парк)	3O	0	0	0
124	Выполнение сменного задания по производительности маневрового локомотива	1K120	0	0	0
125	Отсутствие замечаний по вводу информации в справочно-информационные системы 	3K40	0	0	0
126	Отсутствие случаев нарушения порядка и норм закрепления подвижного состава	3K110	0	0	0
127	Отсутствие отцепок вагонов по несохранности перевозимых грузов по вине работников хозяйства коммерческой работы	3K110	0	0	0
128	Выполнение сменного плана развоза местного груза	2K13	0	0	0
129	Непревышение права расходов по перевозкам нарастающим итогом с начала года без учета амортизационных отчислений	1K35	0	0	0
130	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения	3K35	0	0	0
131	Выполнение сменного плана по отправлению вагонов (четный парк)	RO	0	0	0
132	Отсутствие случаев несвоевременной постановки локомотивов на плановые виды ремонта и обслуживания	3K33	0	0	0
133	Отсутствие случаев невыполнения норматива времени  оборота локомотива в локомотивном депо	3K33	0	0	0
134	Качественное  выполнение ТО – 1 локомотивов (отсутствие замечаний)	3K41	0	0	0
135	Простой транзитного вагона с переработкой (за месяц)	3K42	0	0	0
136	Простой транзитного вагона без переработки (за месяц)	3K43	0	0	0
137	Выполнение задания по роспуску вагонов с горки (Уссурийск-2)	1O	0	0	0
138	Выполнение задания по отправлению вагонов со станции (Уссурийск-2)(в целом по станции (системе))	RO	0	0	0
139	Простой транзитного вагона с переработкой (за месяц) (Уссурийск-2)	3K42	0	0	0
140	Выполнение норм накладного времени от контрольного поста до отправления и от прибытия до контрольного поста локомотивных бригад	1K16	0	0	0
141	Выполнение сменного задания по своевременной постановке и выводке локомотивов на ремонт для проведения ТО, ТР, экипировки локомотивов	1K36	0	0	0
142	Отсутствие случаев задержек выдачи локомотивов на КП	2K32	0	0	0
143	Отсутствие случаев отказов технических средств после проведения ТО-1 по вине локомотивной бригады и качественное выполнение ТО-1	1K37	0	0	0
144	Выполнение задания по вагонообороту станции	RO	0	0	0
145	Обеспечение положительной динамики выполнения графика отправления грузовых поездов к анологичному периоду прошлого года	3K39	0	0	0
146	Отсутствие оперативных донесений	2K34	0	0	0
147	Отсутствие пропуска вагонов с коммерческими неисправностями	2K35	0	0	0
148	Выполнение плана выгрузки	3K18	0	0	0
149	Выполнение норматива по расформированию составов с горки	1K15	0	0	0
150	Отсутствие поврежденных вагонов и вагонов с коммерческими неисправностями по вине работника	3K110	0	0	0
151	Непревышение времени коммерческого осмотра по вине работника	1K32	0	0	0
152	Отсутствие пропуска вагонов с коммерческой неисправностью по вине работника	3K110	0	0	0
153	Выполнение норматива по расформированию составов с горки	1K31	0	0	0
154	Выполнение норматива по формированию состав	1K31	0	0	0
155	Выполнение норм простоя транзитных вагонов без переработки (парк  "А")	RK12	0	0	0
156	Выполнение норм простоя транзитных вагонов с переработкой  (парк  "З")	RK11	0	0	0
157	Выполнение норм простоя транзитных вагонов с переработкой (парк "Б")	RK11	0	0	0
158	Выполнение норм простоя транзитных вагонов с переработкой  (парк  "Г")	RK11	0	0	0
159	Выполнение норм простоя транзитных вагонов с переработкой (парк "Д")	RK11	0	0	0
160	Выполнение норм простоя транзитных вагонов без переработки (парк "Д")	RK12	0	0	0
161	Выполнение нормы времени простоя вагонов в парках прибытия и отправления от предъявления к осмотру до снятия ограждения (парк З)	3K35	0	0	0
162	Выполнение нормы времени простоя вагонов в парках прибытия и отправления от предъявления к осмотру до снятия ограждения (парк Г)	3K35	0	0	0
163	Выполнение нормы времени простоя вагонов в парках прибытия и отправления от предъявления к осмотру до снятия ограждения (парк Б)	3K35	0	0	0
164	Выполнение нормы времени простоя вагонов в парках прибытия и отправления от предъявления к осмотру до снятия ограждения (парк Д)	3K35	0	0	0
165	Отсутствие случаев возврата локомотивной бригады или локомотива по вине работников депо	3K33	0	0	0
166	Отсутствие случаев задержки отправления поезда из-за неисправности локомотива по вине работников ПТО	3K33	0	0	0
167	Отсутствие случаев возврата локомотива в депо по вине работников ПТО	3K33	0	0	0
168	Выполнение нормы времени на проведение технического обслуживания ТО-2 локомотивов на ПТО	1K31	0	0	0
169	Выполнение оборота выводных локомотивов	3K44	0	0	0
170	Выполнение задания по средней длине поезда своего формирования	2K19	0	0	0
171	Отсутствие случаев нарушения  режима работы  локомотивных бригад по станции, по вине работников станции	3K33	0	0	0
172	Выполнение задания по отправлению вагонов транзитных с переработкой + местные	1O	0	0	0
173	Отсутствие случаев несвоевременного и некачественного осмотра составов своего формирования	3K33	0	0	0
174	Отсутствие убытков от несохранности перевозимых грузов по вине работника	3K33	0	0	0
175	Отсутствие случаев отправления локомотивных бригад с рабочим временем свыше 2-х часов от явки до отправления с поездом
(пересидка) по вине работников ТЧР, вследствие неисправности локомотива из-за некачественного ТО-2
	3K33	0	0	0
176	Выполнение нормы времени на проведение ТО-2 локомотивов в грузовом движении на ПТОЛ	1K31	0	0	0
178	Выполнение норматива по накладному времени	1K16	0	0	0
179	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения (парк А)	3K35	0	0	0
180	Выполнение норм простоя транзитных вагонов с переработкой (парк "С")	RK11	0	0	0
181	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения (парки М,А)	3K35	0	0	0
182	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения (парк К)	3K35	0	0	0
183	Отсутствие случаев отцепки вагонов от составов по техническим неисправностям на гарантийном участке (кроме буксового узла) (парки М,А)	3K33	0	0	0
184	Отсутствие случаев отцепки вагонов от составов по техническим неисправностям на гарантийном участке (кроме буксового узла) (парк К)	3K33	0	0	0
185	Выполнение норм простоя транзитных вагонов с переработкой (парк "В")	RK11	0	0	0
186	Выполнение норм накладного времени локомотивных бригад от прибытия до контрольного поста	1K16	0	0	0
187	Выполнение норм накладного времени локомотивных бригад от контрольного поста до отправления	1K16	0	0	0
188	Отсутствие случаев отцепки вагонов от поездов своего формирования после дачи готовности	1K110	0	0	0
190	Выполнение плана выгрузки по станции за смену	1K17	0	0	0
191	Выполнение плана погрузки	1O	0	0	0
192	Отсутствие замечаний по выполнению задания по маневровой работе со стороны руководителя работ	3K40	0	0	0
193	Отсутствие отказов работы технических средств по вине работника участка	2K36	0	0	0
194	Непревышение случаев отказов работы технических средств к аналогичному периоду прошлого года по вине работников участка	2K32	0	0	0
195	Непревышение случаев отправления локомотивных бригад с завышением норм накладного времени к аналогичному периоду прошлого года (по вине работников ДС)	2K32	0	0	0
196	Снижение случаев превышения нормы накладного времени по ответственности "В" к аналогичному периоду прошлого года	2K32	0	0	0
197	Отсутствие случаев простоя локомотива и срывов в работе по вине локомотивной бригады	2K32	0	0	0
198	Выполнение среднесуточной производительности маневрового локомотива не ниже фактического выполнения показателя за соответствующий месяц прошлого года	1K38	0	0	0
199	Отсутствие случаев остановки  вагонов при роспуске с горки по причине технической неисправности	2K32	0	0	0
200	Процент выполнения установленного норматива трудоемкости	3K17	0	0	0
201	Обеспечение качественного оформления первичных документов	3K17	0	0	0
202	Отсутствие задержек отправления поездов по вине работников эксплуатационного локомотивного депо	3K31	0	0	0
203	Выполнение нормы времени простоя по обработке вагонов 	3K35	0	0	0
204	Отсутствие случаев нарушения технологии подготовки вагонов под погрузку (количество актов об отказе от погрузки)	3K45	0	0	0
206	Выполнение нормы вспомогательного времени от явки до КП	3K32	0	0	0
207	Выполнение нормы времени простоя по обработке вагонов в приемо-отправочных парках	3K35	0	0	0
208	Отсутствие случаев отцепок вагонов от составов в парке отправления сортировочной системы с техническими неисправностями, не выявленными при отправлении из Северного парка	2K32	0	0	0
209	Отсутствие случаев отцепок вагонов от составов в парке отправления сортировочной системы с техническими неисправностями, не выявленными при отправлении из Нефтяного парка	2K32	0	0	0
210	Отсутствие случаев отцепок вагонов от составов в парке отправления сортировочной системы с техническими неисправностями, не выявленными при отправлении из Южного парка	2K32	0	0	0
211	Снижение случаев превышения норм накладного времени локомотивных бригад от КП до отправления, по ответственности "В" к аналогичному периоду прошлого года	2K32	0	0	0
212	Выполнение нормы времени проведения технического осмотра вагона в соответствии с установленным технологическим процессом железнодорожной станции	1K31	0	0	0
213	Выполнение планового задания по объему перевозок	1K39	0	0	0
214	Непревышение  права эксплуатационных расходов на перевозках	1K35	0	0	0
217	Непревышение (или отсутствие) задержек поездов по техническим неисправностям в пути следования к аналогичному периоду прошлого года (парк прибытия)	3K46	0	0	0
218	Непревышение (или отсутствие) задержек поездов по техническим неисправностям в пути следования к аналогичному периоду прошлого года (парк отправления)	3K46	0	0	0
219	Отсутствие случаев отцепки вагонов от составов по техническим неисправностям на гарантийном участке (кроме буксового узла) (парк О)	3K33	0	0	0
220	Отсутствие случаев отцепки вагонов от составов по техническим неисправностям на гарантийном участке (кроме буксового узла) (парк А)	3K33	0	0	0
221	Отсутствие случаев отцепки вагонов от составов по техническим неисправностям на гарантийном участке (кроме буксового узла) (парк Т)	3K33	0	0	0
222	Выполнение нормы простоя по обработке вагонов в соответствии с установленным технологическим процессом (без учета времени ожидания технического обслуживания) (парк прибытия) 	3K23	0	0	0
223	Выполнение нормы простоя по обработке вагонов в соответствии с установленным технологическим процессом (без учета времени ожидания технического обслуживания) (парк отправления) 	3K23	0	0	0
224	Выполнение нормы времени на приемку локомотива (парк прибытия) (ТЧЭ-39)	1K31	0	0	0
225	Выполнение нормы времени на приемку локомотива (парк формирования) (ТЧЭ-39)	2K31	0	0	0
226	Отсутствие случаев превышения норм времени на экипировку локомотива (парк прибытия) (ТЧЭ–39)	1K32	0	0	0
227	Отсутствие случаев превышения нормы времени на экипировку локомотива по вине локомотивной бригады (парк формирования) (ТЧЭ-39)	2K32	0	0	0
228	Отсутствие случаев превышения нормы времени на экипировку локомотива по вине локомотивной бригады	2K32	0	0	0
229	Выполнение нормы времени на приемку локомотива	2K31	0	0	0
230	Отсутствие случаев отцепок вагонов в парке отправления с коммерческими неисправностями, не выявленными в парке прибытия	1K21	0	0	0
231	Выполнение задания по среднему весу грузового поезда	2K110	0	0	0
232	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения(парк О)	3K21	0	0	0
233	Выполнение нормы простоя вагонов в парке отправления от предъявления к осмотру до снятия ограждения(парк Т)	3K21	0	0	0
234	Отсутствие случаев  простоя локомотивов и срывов в работе по вине локомотивной бригады	1K21	0	0	0
235	Отсутствие случаев выявления технических неисправностей у вагонов в сформированном составе после приемки осмотрщика по сохранности	1K21	0	0	0
236	Отсутствие отцепок вагонов в готовых поездах	3K22	0	0	0
237	Выполнение нормы времени проведения технического осмотра вагона в соответствии с установленным технологическим процессом железнодорожной станции (парк прибытия)	1K31	0	0	0
238	Выполнение нормы времени проведения технического осмотра вагона в соответствии с установленным технологическим процессом железнодорожной станции (парк отправления)	1K31	0	0	0
239	Выполнение нормы времени осмотра вагона под погрузку	1K31	0	0	0
240	Производительность маневрового локомотива	1K38	0	0	0
241	Отсутствие случаев необеспечения готовых поездов локомотивами необходимой серии и локомотивной бригадой в соответствии с заявкой, при наличии исправных локомотивов	3K31	0	0	0
244	Отсутствие случаев необеспечения готовых поездов локомотивами необходимой серии и локомотивной бригадой в соответствии с заявкой, при наличии исправных локомотивов	3K31	0	0	0
245	Отсутствие случаев необеспечения готовых поездов локомотивами необходимой серии и локомотивной бригадой в соответствии с заявкой, при наличии исправных локомотивов	3K31	0	0	0
